player,shot_type,hit_type,hit_court_side,bounce_court_side,bounce_location_long,hit_velocity_x,hit_velocity_y,hit_velocity_z,bounce_y
guest,first_serve,first_serve,far,near,no_mans_land,2.394,-27.93,-0.215,5.011
host,none,ground_stroke,near,near,service_box,-2.644,24.244,0.983,8.713
guest,second_serve,second_serve,far,near,no_mans_land,5.682,-26.812,0.224,4.777
guest,first_serve,first_serve,far,far,service_box,-2.968,-29.133,-3.901,12.135
guest,second_serve,second_serve,far,near,service_box,-3.191,-21.695,0.192,8.126
host,return,ground_stroke,near,far,no_mans_land,3.139,19.207,4.529,19.77
guest,serve_plus_one,ground_stroke,far,far,service_box,0.165,-13.095,3.694,11.901
guest,first_serve,first_serve,far,near,service_box,3.445,-30.095,-0.193,7.073
host,return,ground_stroke,near,far,service_box,-4.767,13.453,6.213,16.762
host,first_serve,first_serve,near,near,service_box,-3.764,30.418,-3.795,11.215
host,second_serve,second_serve,near,far,service_box,-5.647,22.299,1.122,17.469
guest,return,ground_stroke,far,near,service_box,5.59,-18.388,4.473,5.753
host,serve_plus_one,ground_stroke,near,far,no_mans_land,0.769,19.518,4.657,20.252
guest,return_plus_one,ground_stroke,far,near,no_mans_land,-2.638,-14.943,6.822,4.298
host,in_play,ground_stroke,near,far,service_box,-0.589,18.217,3.411,15.502
guest,none,feed,far,near,service_box,6.259,6.259,6.259,8.124
host,first_serve,first_serve,near,near,service_box,13.286,27.96,-2.569,10.484
host,second_serve,second_serve,near,far,service_box,9.107,21.075,1.036,15.759
guest,return,ground_stroke,far,near,no_mans_land,-3.5,-15.555,6.112,2.223
host,first_serve,first_serve,near,near,service_box,-5.294,35.253,-5.331,11.073
host,second_serve,second_serve,near,far,service_box,-2.752,23.56,-0.256,17.061
guest,return,ground_stroke,far,far,service_box,-0.711,-12.367,4.792,12.188
guest,none,feed,far,near,no_mans_land,5.812,5.812,5.812,0.097
host,first_serve,first_serve,near,near,service_box,15.715,31.418,-3.664,11.239
host,second_serve,second_serve,near,far,service_box,6.594,21.564,0.719,15.708
guest,return,ground_stroke,far,near,no_mans_land,-2.652,-23.427,3.692,4.064
host,serve_plus_one,ground_stroke,near,far,service_box,3.761,19.574,3.836,16.065
guest,return_plus_one,ground_stroke,far,near,no_mans_land,-2.213,-13.841,7.802,1.946
host,in_play,ground_stroke,near,far,service_box,1.02,20.068,3.883,17.365
guest,in_play,ground_stroke,far,near,no_mans_land,3.624,-24.45,3.709,3.612
host,first_serve,first_serve,near,far,no_mans_land,-2.633,28.358,-0.616,19.039
host,second_serve,second_serve,near,far,service_box,-4.359,25.375,-0.009,17.521
guest,return,ground_stroke,far,far,service_box,5.778,-23.092,2.3,17.183
guest,none,volley,far,near,no_mans_land,6.259,6.259,6.259,4.625
guest,none,ground_stroke,far,near,out,-4.107,-15.769,7.348,-1.701
guest,first_serve,first_serve,near,far,service_box,-4.943,28.492,-0.611,17.803
host,return,ground_stroke,far,near,service_box,6.199,-17.605,5.369,5.507
guest,serve_plus_one,ground_stroke,near,near,service_box,-2.685,22.044,1.416,10.433
guest,first_serve,first_serve,near,far,service_box,6.683,27.995,-0.636,18.172
host,none,ground_stroke,far,near,no_mans_land,0.961,-15.928,5.929,0.071
guest,second_serve,second_serve,near,near,service_box,9.699,27.681,-2.907,10.101
guest,first_serve,first_serve,near,far,service_box,-6.842,28.465,-0.69,18.025
host,none,feed,far,near,service_box,5.364,5.364,5.364,7.512
guest,first_serve,first_serve,near,near,service_box,6.711,29.12,-2.774,11.115
guest,second_serve,second_serve,near,far,no_mans_land,2.309,24.764,1.013,20.378
host,return,ground_stroke,far,near,no_mans_land,-1.974,-16.334,5.615,3.584
guest,first_serve,first_serve,near,far,service_box,-2.986,28.33,-1.293,16.866
host,return,ground_stroke,far,near,no_mans_land,1.898,-19.037,5.835,1.582
guest,serve_plus_one,ground_stroke,near,far,out,-0.943,12.605,9.939,24.371
guest,return_plus_one,ground_stroke,near,far,service_box,-0.328,9.199,-1.651,13.709
guest,none,ground_stroke,near,far,service_box,-0.553,12.208,3.346,13.66
host,second_serve,second_serve,far,near,service_box,4.393,-23.278,0.187,6.158
guest,return,ground_stroke,near,far,no_mans_land,-5.177,16.722,5.919,21.374
host,serve_plus_one,ground_stroke,far,near,no_mans_land,2.484,-21.02,4.342,2.836
guest,return_plus_one,ground_stroke,near,far,service_box,0.74,16.615,4.793,16.797
host,in_play,ground_stroke,far,near,service_box,-0.633,-9.955,6.073,10.422
guest,in_play,ground_stroke,near,far,no_mans_land,0.619,14.465,4.656,18.977
host,in_play,ground_stroke,far,near,service_box,-0.901,-16.953,3.655,11.374
guest,in_play,volley,near,near,service_box,0.272,3.244,2.536,7.774
host,first_serve,first_serve,far,near,service_box,-8.796,-30.121,-1.574,5.883
guest,return,ground_stroke,near,far,no_mans_land,20.117,20.117,20.117,22.323
host,first_serve,first_serve,far,far,service_box,3.981,-14.773,0.665,17.692
host,second_serve,second_serve,far,near,no_mans_land,0.922,-21.18,2.177,4.809
guest,return,ground_stroke,near,far,no_mans_land,-0.259,16.528,5.792,20.767
host,first_serve,first_serve,far,near,service_box,-3.465,-31.1,-2.237,6.779
guest,return,ground_stroke,near,near,service_box,3.374,20.186,2.486,5.8
host,first_serve,first_serve,far,near,service_box,2.43,-30.474,-2.399,6.203
guest,return,ground_stroke,near,near,service_box,-4.86,18.66,2.346,11.42
guest,none,feed,near,far,service_box,6.259,6.259,6.259,17.193
guest,first_serve,first_serve,far,near,service_box,2.963,-24.758,-0.364,7.202
host,return,ground_stroke,near,near,service_box,-1.095,18.626,2.324,10.918
host,none,feed,near,far,no_mans_land,1.618,9.295,5.485,18.615
guest,first_serve,first_serve,far,near,service_box,-3.039,-22.654,0.038,7.836
host,return,ground_stroke,near,far,no_mans_land,1.053,16.364,6.771,21.078
guest,serve_plus_one,ground_stroke,far,near,no_mans_land,1.137,-16.266,4.795,5.146
host,return_plus_one,ground_stroke,near,far,service_box,3.043,21.093,2.631,16.365
guest,in_play,ground_stroke,far,near,service_box,-0.713,-15.681,7.701,6.951
